Epoch #0 , Acc_train=0.02437232993543148, Loss_train=3.849625825881958, Acc_valid=0.018312102183699608, Loss_valid=3.8470211029052734
Epoch #1 , Acc_train=0.04190037399530411, Loss_train=3.839388847351074, Acc_valid=0.05364251509308815, Loss_valid=3.8274142742156982
Epoch #2 , Acc_train=0.1803552359342575, Loss_train=3.6239988803863525, Acc_valid=0.35798168182373047, Loss_valid=2.5175604820251465
Epoch #3 , Acc_train=0.5248731374740601, Loss_train=1.6644830703735352, Acc_valid=0.6141520738601685, Loss_valid=1.3443995714187622
Epoch #4 , Acc_train=0.643997073173523, Loss_train=1.211883544921875, Acc_valid=0.6761544346809387, Loss_valid=1.1148228645324707
Epoch #5 , Acc_train=0.6995192170143127, Loss_train=1.0111750364303589, Acc_valid=0.7175557613372803, Loss_valid=0.9643164277076721
Epoch #6 , Acc_train=0.7405849099159241, Loss_train=0.8682473301887512, Acc_valid=0.7445262670516968, Loss_valid=0.8617824912071228
Epoch #7 , Acc_train=0.7675614356994629, Loss_train=0.7649421095848083, Acc_valid=0.7662221193313599, Loss_valid=0.7887805104255676
Epoch #8 , Acc_train=0.7875267267227173, Loss_train=0.6891589760780334, Acc_valid=0.7811504602432251, Loss_valid=0.7375710606575012
Epoch #9 , Acc_train=0.8037526607513428, Loss_train=0.6324114799499512, Acc_valid=0.7906050682067871, Loss_valid=0.7006942629814148
Epoch #10 , Acc_train=0.8137019276618958, Loss_train=0.5888563394546509, Acc_valid=0.7990645170211792, Loss_valid=0.6742419004440308
Epoch #11 , Acc_train=0.8226161599159241, Loss_train=0.5540676712989807, Acc_valid=0.8039410710334778, Loss_valid=0.6553065776824951
Epoch #12 , Acc_train=0.8300614356994629, Loss_train=0.5252041816711426, Acc_valid=0.8073248267173767, Loss_valid=0.6410149931907654
Epoch #13 , Acc_train=0.8376736044883728, Loss_train=0.5004565119743347, Acc_valid=0.8121019005775452, Loss_valid=0.6304279565811157
Epoch #14 , Acc_train=0.8436498641967773, Loss_train=0.47911450266838074, Acc_valid=0.8143908977508545, Loss_valid=0.621440052986145
Epoch #15 , Acc_train=0.8502270579338074, Loss_train=0.45995479822158813, Acc_valid=0.8154856562614441, Loss_valid=0.6153812408447266
Epoch #16 , Acc_train=0.8561698794364929, Loss_train=0.4427085816860199, Acc_valid=0.8169785141944885, Loss_valid=0.6118797659873962
Epoch #17 , Acc_train=0.8607772588729858, Loss_train=0.4269431531429291, Acc_valid=0.8180732727050781, Loss_valid=0.6095032095909119
Epoch #18 , Acc_train=0.8653178215026855, Loss_train=0.41237515211105347, Acc_valid=0.8181727528572083, Loss_valid=0.6072084903717041
Epoch #19 , Acc_train=0.8688568472862244, Loss_train=0.39872241020202637, Acc_valid=0.8190684914588928, Loss_valid=0.6057941317558289

real	6m32.397s

Result , Acc_test=0.8160282373428345, Loss_test=0.602705180644989
